	Term	Type	Overlap	P.value	Adjusted.P.value	Genes
11	ATF2	ENCODE	96/2852	0.000226890633154188	0.0021038949619752	SETD5;ZNF330;ZNF250;FASTKD2;CLTB;ZBTB21;JADE1;ZNF48;IPO4;FAM216A;TMEM222;CNST;SERP1;TRIM28;ZNF408;FGFR1OP2;TRAPPC12;ITGB8;TRMT44;ZNF764;ZNF565;TNPO2;ZNF200;ABT1;ZNF121;SEC13;FBXW11;CMC2;NSUN3;TRNAU1AP;BAZ1B;ATXN2L;SFPQ;TRAF4;TMEM79;BDP1;NSRP1;SF1;SF3B4;IPPK;ZCCHC8;ZNF593;NUFIP1;TOMM40;NUFIP2;YTHDC1;ISG20L2;FBXO48;TRMT2A;IWS1;NT5C;BCL2L13;SEC14L1;FAM83E;CLPTM1;ZNF668;SHOC2;NRBF2;ZBTB7B;BANP;COA4;ZNF143;TRMT10A;JUN;ZNF263;YTHDF2;FEM1A;FBXO38;CNBP;XRCC2;ZBTB10;NR1D2;TRMT1;NUP153;ZBTB11;ZC3HC1;CLK1;NR4A2;COPS3;IRGQ;SH3BP5L;CMSS1;NR6A1;NR4A3;KANSL2;SERBP1;ZNF614;INTS7;INTS6;TRMT11;ABCE1;ZNF410;TRMT61B;ZNF574;BCL2L1;ATR
12	BHLHE40	ENCODE	20/348	0.000276717662924541	0.00223269333936799	ZNF263;NUFIP1;SEC24A;TNFAIP3;NR1D2;NR1D1;ZBTB11;AXIN2;IPO4;NT5C;FAM83G;ATXN2;NR6A1;XPO6;KAT6A;BHLHE40;IRF2;FAM53B;ZBTB7B;ZNF367
13	MYC	CHEA	28/573	0.00028455895501749	0.00223269333936799	SETD5;ZNF593;SF3B3;FASTKD2;ZC3H8;XPO6;NTMT1;ZBTB7B;ZNF367;TNPO2;ZBED4;TRMT10A;SEC13;CNBP;TRMT1;YDJC;FBXO31;ATXN2L;SFPQ;ZNF639;KANSL2;SERBP1;KCTD13;TRIB3;ZNF655;FAU;ABCE1;TRMT61A
14	E2F6	ENCODE	106/3245	0.000310058557265555	0.00225899806007762	KCNG1;ZNF451;ZBTB21;IRS2;AUP1;FAM216A;FBXO4;TRAPPC12;KCNH1;KCNH4;SFMBT1;CMC2;TOMM34;CLIP1;KATNAL1;KCTD13;KCNQ5;TSNARE1;ZFPM1;ZNF276;NUMBL;NPRL3;ZNF22;TRMT2A;ZC3HAV1;FAM83G;NUAK2;SEC14L1;ZNF707;ISOC1;NR2C2AP;BANP;COA4;ZNF263;XRCC2;ZBTB10;TNFRSF10B;NR1D2;B3GALT6;TNFRSF10A;NUP153;NR1D1;FANCB;FBXO30;CNOT4;CLK1;NR4A2;COPS3;BHLHE40;INTS7;ATR;AVEN;SETD5;ZNF131;FEN1;SETD6;CLTB;ZC3H8;NRARP;BICD1;XPO4;NTMT1;ZNF280C;BCL7B;ITGB8;FGFBP3;ZNF367;IQCB1;CLUH;NSUN5;ZFR;FAM207A;BAZ1B;YDJC;NPC1;TRAF4;ITGB1BP1;ZNF598;TRIM56;ZNF473;ABHD17C;COCH;IWS1;NT5C;ZNF507;ZNF628;NRIP3;CNNM4;TRIM44;ZNF341;SF3A2;YTHDF2;SEC24A;CMTM4;CNBP;SGTA;ZIC5;CMSS1;SERBP1;TRMT6;AUNIP;BCOR;ABCE1;TRMT61A;CKLF;ZNF574
15	RCOR1	ENCODE	30/702	0.00153738512536041	0.0104542188524508	IPPK;ZBTB43;NRARP;AUP1;ZC3H12C;BCL2L13;TMEM222;ATXN2;SENP5;SERTAD2;NTMT1;BEND3;ZNF668;ZBTB7B;FGFBP3;ZNF367;SH2D5;SH2B3;SFMBT1;FBXO38;YDJC;CLK4;ZDHHC14;ZDHHC9;CLCF1;CNOT3;TRIP10;BIRC6;FARSA;ZNF598
16	PML	ENCODE	56/1596	0.00220779952315171	0.0140747219600922	SETD5;ZNF131;ZDHHC7;AUP1;TSEN2;IPO4;TMEM223;CNST;SERP1;TRIM28;NTMT1;FGFR1OP2;ZC3H12A;ZNF280C;XPO5;JUNB;ZNF367;SEC13;NSUN5;TSC22D2;FAM207A;TRAF2;ATXN2L;SFPQ;TMEM79;KCTD13;BIRC6;ZNF276;SF3B4;ZNF672;NUFIP2;ZC3HAV1;NRF1;IWS1;FBXO42;ZBTB2;NT5C;BCL2L13;ATXN2;CLPTM1;SHOC2;ZNF621;ATRIP;JUN;ZNF263;SF3A2;YTHDF2;CLK1;KANSL2;TMEM238;INTS6;TRMT11;ZNF653;CKLF;ZNF410;ATR
17	CREB1	CHEA	51/1444	0.0030418842914155	0.018251305748493	ZNF451;ZFAND2A;ZBTB21;BICD2;YY1;TMEM222;NTMT1;TRMT44;JUNB;ZNF367;ABT1;ZHX2;TSC22D2;ZFR;COQ10B;ISL2;TRAF4;BDP1;NSRP1;SF1;IPPK;ZNF593;NUFIP1;TOMM40;NUFIP2;TRMT2A;ZNF2;NUAK2;ZNF628;SERTAD2;ZC3H18;ATRIP;BANP;ZNF143;ZNF263;SEC24A;SIAH2;SGTA;NUP153;CLK1;NR4A2;NR4A1;SH3BP5L;CMSS1;NR6A1;NR4A3;TRMT6;CNOT3;FAU;TRMT61A;ZNF410
18	SMAD4	CHEA	25/584	0.0036050627747021	0.0204286890566452	FANK1;BCAR3;ZNF131;NRP2;CLEC16A;ZDHHC7;JAKMIP1;CLDN1;ABRA;SH3RF1;ZNF608;SERTAD2;FAM71A;ZHX2;ITGA4;SFMBT2;SHROOM3;NRG1;AXIN2;BICC1;FERMT1;SETBP1;BHLHE40;SFXN1;FGF12
19	SPI1	ENCODE	52/1540	0.00672219376936537	0.034906850700403	FEN1;KCNC1;ZFAND2A;CLTB;ZC3H8;SIPA1L3;BICD2;TMEM222;CNST;NUDCD1;SIT1;TRAPPC12;ABT1;FBXW7;NSUN2;YDJC;TOMM40L;BCAN;ISL2;ZEB2;ZEB1;SIK3;KCNQ5;SF1;ZCCHC8;SELPLG;TOMM40;ZBTB46;ISG20L2;FBXO48;TRMT2A;CORO1C;ZNF668;SHOC2;NRBF2;SH2B3;ZBTB18;SGTB;FBXO38;SGTA;NR1D2;NUP153;FBXL12;YRDC;TMEM238;TRMT6;TRIP10;ZNF655;FAU;ABCE1;ZNF653;KBTBD8
20	TP63	CHEA	48/1399	0.00684448052949078	0.034906850700403	ITSN2;KCNG1;IPPK;ZCCHC8;KCNK7;TRIO;ITPRIP;KCNC1;INTU;YTHDC1;ABHD2;ZDHHC7;TRAK1;BEST3;SIPA1L3;BACH2;BICD2;CLCN1;CORO1C;FBXO42;SHH;NUAK1;TMEM201;NUAK2;SERTAD2;SH3BP4;NRBF2;SH2D5;ZC3H14;FAM71A;TSHB;TRMT10B;TMEM52B;BDNF;ITGA3;KCNIP3;ABCA4;TSC22D2;AXIN1;TMEM40;CORO2B;CNOT4;FAM160A1;FERMT1;ZEB1;ZNF655;ZFPM1;TRIM56
21	CTCF	ENCODE	58/1790	0.0098359503018126	0.0477746157516612	CNTFR;SETD2;TRIO;ZNF250;COL12A1;TNFAIP3;NRARP;CLDN1;ZC3H12C;NPPC;FGF7;BAIAP2L1;TMEM44;FAM53B;FGFBP3;KCNH1;ABT1;ZBTB39;KCNH4;ZHX2;ITGA3;KCNK13;TSC22D2;ZBTB34;YDJC;TOMM40L;NPC1;SETBP1;ZNF639;TRAF6;ZNF593;NPR2;ISG20L2;NRF1;CORO1C;FBXO42;NT5C;ZDHHC18;TMEM201;SEC14L1;BEND3;ZNF746;ZBTB7B;CNNM4;ZNF341;JUN;ZNF142;YTHDF2;FEM1A;KCNB1;NR4A1;IRGQ;NR6A1;BHLHE40;TRIP10;ZNF777;INTS7;BCL2L1
