	Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
11	SIX5 K562 hg19	89/2086	0.00119411682104146	0.0885817569063481	0	0	1.45612968324667	9.80026012566569	ZNF331;INVS;ZNF570;ZNF691;TPGS1;ZFYVE1;TPGS2;TMEM187;SEC61A1;ZNF449;SH3BGRL2;ZNF569;BBS9;KAT7;BANF1;ZNF688;JARID2;AZI2;NUDT13;TRIM23;ZNF485;ZNF484;ZNF285;ZNF284;ATP6V1G2;FBXO15;JOSD2;TRPC4AP;COQ10A;SIRT2;TSN;ZFP90;IQCH;FAM189B;ZFYVE19;ZNF436;ZNF513;FAM32A;ZNF358;SEC22B;B4GALT7;ISCU;ZNF233;ZNF155;SF3B2;COX16;SEL1L;TMTC3;ZBTB45;NPL;ZNF24;NSL1;TOR1AIP1;ZFP14;FAM168A;CNPY4;NTHL1;XRRA1;ZNF549;ZKSCAN5;ZNF546;ZNF226;TSNAXIP1;ZNF268;ZNF224;ZNF586;TRMT1L;ZNF222;ZNF189;B3GALNT2;TRAPPC3;ZNF582;ZNF140;ZNF260;FAM78A;TRAPPC4;FBXL19;ZNF181;ZFC3H1;ZNF32;NR1H3;TMEM59;KBTBD4;NOXA1;ZNF658;NUCB1;ZNF613;CNIH4;BET1
12	GABPA GM12878 hg19	105/2556	0.00151462269702708	0.102994343397841	0	0	1.40540643116716	9.12472621733641	ZNF572;ZNF691;TMEM41B;ZBTB26;TPGS1;COX6A1;ZFYVE1;ZDHHC4;NUB1;ZNF569;TRAPPC11;KAT7;NUDT13;NUDT12;ZNF561;ZNF284;ATP6V1G2;ZNF160;ZFP3;NSMCE1;ZCRB1;FBXW2;FAM161B;FAM8A1;ZNF155;ZNF397;ZNF671;FAM149B1;COX16;COPS7A;COX7A2;ZNF23;ZBTB5;NTHL1;ZNF549;ZKSCAN3;ZNF425;ZNF546;ZNF268;TRMT1L;TRAPPC1;TRAPPC4;BFAR;COPS4;TMEM234;ZFP62;SERINC1;SERINC5;ABCD4;TSEN15;COX4I1;ZBTB8OS;SEC61A1;ATP7A;ZIK1;ZNF485;ZER1;ATP6AP2;TRPT1;COMMD6;COQ10A;SIRT2;SIKE1;NSMCE4A;ZNF517;ZNF513;FAM32A;ZNF512;SEC22B;SFT2D1;B4GALT7;ITGB3BP;ZNF233;BCAT2;SF3B2;ZNF197;TMF1;NSL1;NRAS;TMEM203;TMEM67;TMEM68;ZNF226;ZNF585B;YKT6;ZNF224;ZNF586;ZNF740;ZNF222;ZNF189;ZNF461;TMEM30A;YTHDF3;YIPF3;B3GAT3;CMTM6;ZFC3H1;TMUB2;TMEM59;KBTBD4;ZNF616;XPNPEP3;ZNF579;COPG2;FAM50B
13	CCNT2 K562 hg19	85/2000	0.00173332717010042	0.108799613138611	0	0	1.44620240832392	9.19453912572119	ATP8A1;ABAT;TMEM53;COX6A1;CLYBL;ZDHHC4;SEC61A1;NUB1;SESN3;ZMYM3;SFR1;SIX5;BBX;NUDT18;TRAPPC11;NUDT17;ZNF687;ATP7A;SEC62;SIL1;TMEM8B;TRIM23;KCNH3;TRIM62;ATP6V1G2;IST1;ITGA1;TOMM20L;COMMD6;TRPC4AP;CLIP3;ATRN;FAM189B;ZADH2;TMX1;ZNF513;ZNF512;ZNF710;ISCU;ITGB3BP;KANK3;ZNF397;KANK2;TMF1;ABHD4;TMTC2;ZDHHC21;COX7A2;ZNF23;NTPCR;SDSL;TMEM241;CNN3;NRAS;ZFP14;FCHO1;TMEM68;TP53INP1;ZNF546;YKT6;ZNF224;ZNF586;ZNF740;B3GALNT1;TRAPPC3;NQO1;ZNF582;TRAPPC1;TMEM30A;YTHDF3;XRCC1;TPPP3;TMEM234;FAM167A;ABCB10;NT5C1A;KCNS3;NOXA1;YPEL1;SERINC1;TRIM38;FGF13;TRIM32;CLUAP1;BET1
14	POLR2A MCF 10A hg19	125/3155	0.00195627077714108	0.114022639581937	0	0	1.35980583945491	8.48072186060915	ISCA1;ZNF691;TMEM41B;ZBTB26;XYLT2;ABAT;ZDHHC1;COX6A1;ZFYVE1;ZDHHC4;TRIM29;BBX;NUDT17;KAT7;NUDT16;TMEM38A;TRIM21;TMEM8B;ZNF441;SEMA6C;ZNF285;COG5;ZNF160;ZFP2;NSMCE1;ATP11C;SHISA4;ATP11B;ZCRB1;TRPC4AP;FBXW2;NRBP1;ZNF155;ZNF397;FAM149B1;FECH;SEL1L;TMTC3;ZBTB1;COX7A2;ZNF23;NTPCR;SDSL;FBXO43;ZBTB4;CNN3;COMMD8;XRRA1;NPHP1;ZKSCAN3;ZNF302;ZBED5;ISOC2;BBS2;TRAPPC3;TMEM86A;TRAPPC4;ZNF32;TMEM234;CNOT7;SFXN3;TPP1;FAT4;FGFR3;BAP1;TOP2B;SH3KBP1;CNRIP1;ITGB2;TSPAN12;TSPAN10;COIL;BCL7C;BLNK;SH3BGRL2;ZNF484;SHPRH;TRIM62;ATRX;ITGA1;ABHD14B;COMMD6;SIRT2;IQCH;FCHSD1;FAM189B;BBS12;TRNP1;FAM32A;ZMYND10;BCAT2;TRABD;KANK1;ZDHHC21;FAM214B;FGD1;FBXL20;NT5DC1;SH3BGRL;ZFP14;CNPY4;TMEM203;TMEM67;ZNF226;ZNF585B;YKT6;ZNF224;ZNF586;ZNF740;TRIM45;ZNF461;ZNF182;SEMA4F;KBTBD3;FAM167A;TSPAN13;ABI2;TMEM54;KCNS3;YPEL1;ZNF579;TRIM37;COPG2;TRIM32;YPEL2
15	POLR2A K562 hg19	249/6920	0.00214713644638805	0.116411831638416	0	0	1.27509538155038	7.83370175575932	ISCA1;TMEM41B;IPP;XYLT2;ABAT;ZFYVE1;TPGS2;ZDHHC4;NUB1;BBX;BCAP29;KAT7;ATXN7L1;FBXO8;SEC62;SIL1;XYLB;TMEM8B;SEC63;TRIM23;ATP6V1G2;COG5;ZNF160;NSMCE1;ZFYVE16;XRN1;ZFYVE19;COL8A2;ATP6V0D1;ZNF155;ZNF397;ZNF395;ABCB6;ZNF391;TSHZ1;TPRG1L;TMTC3;ZBTB1;IQGAP1;SDSL;ZBTB5;ZBTB4;FAM160B2;COMMD8;SGPL1;NTHL1;XRRA1;FAM180B;ZBED5;ATP6V1C1;TRMT1L;TRPM4;B3GALNT2;BBS2;TMEM86A;ABCA5;TMEM50B;XRCC1;NR0B2;FBXL2;ITM2B;ZNF253;ZNF43;SECTM1;ZBTB8OS;TMEM53;CLYBL;ZMYM4;SH3BGRL2;SH3BGRL3;BBS7;BATF2;ZNF484;TSC22D4;SHPRH;ZER1;SIRT5;ZDHHC13;NUDT16L1;COMMD6;COQ10A;SIKE1;BDH2;TNNT1;B3GNT3;FAM20B;FAM32A;ZNF358;ZNF233;KANK2;TMF1;NRAS;ZFP14;CNPY4;TMEM67;ZNF585B;YKT6;ZNF224;ZNF586;ZNF222;NQO1;ZNF582;YIPF1;YTHDF3;YIPF3;NR1H3;TMEM60;TMUB2;KBTBD3;TMEM59;KBTBD4;ABCB10;TMEM54;KCNS3;TOMM7;ZNF579;COPG2;TRIP12;B9D2;YPEL3;SIPA1;YPEL2;ZNF572;ZNF691;ATP8A1;ZFAND6;ZBTB26;COMT;COX6A1;TRAPPC11;NUDT16;ZNF687;AZI2;NUDT14;TNFRSF4;NUDT13;NUDT12;ZNF441;SEMA6C;ZNF561;IST1;ATP11B;ZCRB1;TRPC4AP;FBXW2;TOM1L1;TMX1;FAM161B;FAM8A1;XPR1;KANK3;SIDT2;ZNF671;COPB2;ABHD4;FAM149B1;FECH;COPB1;COX18;YTHDC2;NTPCR;TOR1AIP1;FGGY;CLTCL1;NPHP1;ZKSCAN5;ZNF425;ZNF546;ISOC2;TRAPPC3;TRAPPC4;BFAR;COPS4;SEPSECS;CNOT6;IRAK1BP1;TMEM234;CNOT7;YEATS2;ZNF658;TPP1;SERINC3;FGF13;TMEM19;FGFR3;SERINC5;ITGB1;TNFAIP8;B4GALT1;TSEN15;COX4I1;TNFAIP2;ZC3H6;TSPAN12;SEC61A1;SFR1;YWHAQ;SIX5;IQUB;NPTN;ZNF766;ZNF644;ATP7A;TRIM62;ATRX;ABHD14B;ABHD14A;TSN;ZFP90;IQCG;FCHSD1;ATRN;FAM189B;ZNF517;ZNF638;TRNP1;ZNF513;ZNF512;SEC22B;SFT2D2;B4GALT7;BLVRA;ITGB3BP;BCAT2;TRABD;ZNF197;CLCN3;TOB1;NSL1;FCHO1;TMEM203;TRIM46;ZNF740;BEND6;FDXACB1;TRIM45;TMEM30A;B3GAT3;ZNF182;FBXL17;ZFC3H1;BAIAP3;CLCN5;TRIM37;CMTM1;TRIM38;TRIM32;CLUAP1;BET1
16	GABPA MCF-7 hg19	86/2048	0.00229104363012495	0.116411831638416	0	0	1.42698371869254	8.67427418566233	ZNF691;TMEM41B;ZBTB26;ZNF43;TMEM53;COX6A1;ZFYVE1;COIL;NUB1;IQUB;ZNF569;TRAPPC11;ZNF766;ATP7A;NUDT13;ZNF441;ZNF484;ZNF561;TSC22D4;ZNF285;ZNF284;ZER1;ZFP3;NSMCE1;ZDHHC13;TRPT1;ZCRB1;COMMD6;COQ10A;SIRT2;FBXW2;NRBP1;ITFG1;IQCH;BBS12;ZNF517;FAM32A;ZNF512;ATP6V0D1;FAM8A1;SFT2D1;ZNF233;ZNF155;ZNF397;COPB2;SF3B2;TMF1;FAM149B1;COX16;COX18;SEL1L;ZDHHC21;NPL;SDSL;FBXO43;CLCN3;NSL1;ZFP14;TMEM203;NTHL1;TMEM68;ZNF549;ZKSCAN3;ZNF546;ZNF585B;ZNF268;YKT6;ZNF224;ZNF586;TRMT1L;ZNF222;ZNF461;YIPF1;YTHDF3;YIPF3;B3GAT3;TRAPPC4;IRX3;TMEM60;TMUB2;COPS4;KBTBD4;TMLHE;XPNPEP3;B9D2;FAM50B
17	KDM1A K562 hg19	84/2000	0.00256790805084742	0.116411831638416	0	0	1.42570065662868	8.50382495300379	YWHAE;ZNF253;ZCCHC12;TMEM41B;ZFAND6;KCNC4;CLSTN1;ZBTB26;IPP;TMEM53;COX6A1;TPGS2;SIX5;IQUB;SH3BGRL2;BBS9;ZNF688;ZNF644;ATP7A;NUDT14;SIL1;ZNF441;BATF2;ZNF484;TSC22D4;ATP6V1G2;JOSD2;ZCRB1;COMMD7;TRPC4AP;SIRT2;FBXW2;NRBP1;ITFG1;FAM189B;ZFYVE16;FCHSD2;XRN1;ZADH2;TRNP1;COL8A2;ZNF512;ZNF555;SFT2D2;ATP6V0D1;ITGB3BP;COX16;ZNF391;YTHDC2;ZBTB1;ZNF518A;COX7A2;IQGAP1;NPL;SDSL;ZNF24;FAM214A;TOB1;NSL1;ZBTB41;TOR1AIP1;NRAS;COMMD8;NTHL1;TMEM67;NPHP1;ZNF425;ZBED5;ZNF740;BEND6;TRIM45;BBS2;NQO1;ABCA5;FBXL15;NR0B2;BAIAP3;COPS4;ZFP62;TPP1;TRIM37;TRIM38;YPEL5;SIPA1
18	ZNF143 K562 hg19	84/2000	0.00256790805084742	0.116411831638416	0	0	1.42570065662868	8.50382495300379	INVS;ABCD4;TRAM1;TSEN15;TPGS1;CLU;ZDHHC4;SGCE;COIL;ZMYM3;ZNF449;SH3BGRL2;TRAPPC11;CLCC1;NUDT16;ZNF644;ATXN7L1;BBS7;ATP7A;TRIM21;NUDT12;ZNF485;BATF2;ZNF484;ZNF285;TOMM20L;SIRT5;ZDHHC13;CNPY3;NRG2;COQ10A;SIRT2;TSN;TPST1;SIKE1;TMX4;ZFYVE16;BDH2;TMX1;FAM32A;SEC22B;B4GALT7;ITGB3BP;ZNF233;KANK3;ZNF197;FAM149B1;COX16;TSHZ1;COPS7A;COX7A2;ZNF23;NTPCR;NSL1;FAM171A2;NRAS;COMMD8;TMEM67;XRRA1;TP53INP1;ZNF546;YKT6;ZNF224;ZBED5;ATP6V1C1;TRAPPC3;NQO1;ZNF461;ZNF582;TRAPPC4;ZNF182;TMEM192;XRCC1;FBXL15;BFAR;COPS4;TPPP3;TMEM234;NUCB1;COPG2;FBXL2;SERINC3;BAP1;BET1
19	POLR2A GM12891 hg19	120/3050	0.00310692838132573	0.127668032780031	0	0	1.34466902372729	7.76428124399446	ZNF331;ZNF572;ISCA1;ATP8A1;ZBTB26;ABAT;TPGS1;ZFYVE1;ZDHHC4;TRIM24;BBX;TRAPPC11;NUDT16;ZNF687;ZNF441;ZNF285;IST1;ZFP3;IPMK;ZCRB1;TRPC4AP;NRBP1;TPST1;FAM161B;FAM8A1;XPR1;ZNF155;ZNF397;COPB2;ABCB6;FAM149B1;FECH;COX16;ZNF391;COPB1;YTHDC2;TMTC3;ZBTB1;ZNF23;NTPCR;ZBTB4;XRRA1;NPHP1;TNFRSF17;ZNF546;ZNF302;ATP6V1C1;CNTLN;BBS2;ABCA5;ZNF260;TRAPPC4;XRCC1;COPS4;CNOT7;SERINC1;SERINC3;CNIH4;INVS;ABCD4;TMEM53;CLYBL;COIL;SEC61A1;YWHAQ;BLNK;JAK3;ZNF485;ZNF484;TSC22D4;ATRX;ATP6AP2;ZDHHC13;ABHD14B;NUDT16L1;COQ10A;SIRT2;ITPKB;FCHSD1;KAT2B;SIKE1;BDH2;ZNF517;FAM32A;ZNF512;SEC22B;ITGB3BP;ZNF233;BCAT2;ZNF197;TMF1;ZDHHC21;FAM214A;NSL1;FBXL20;ZFP14;TMEM203;ZNF226;ZNF585B;YKT6;ZNF586;ZNF222;FDXACB1;NQO1;ZNF461;ZNF582;YIPF1;TMEM30A;B3GAT3;ZNF182;TMUB2;KBTBD3;TMEM59;CLCN5;ABI2;TOMM7;ZNF579;COPG2;TRIM38;B9D2
20	POLR2AphosphoS5 GM12878 hg19	63/1431	0.00317476731918539	0.127668032780031	0	0	1.48647660818713	8.55098780741782	ZNF691;TMEM41B;ITGB2;TMEM53;COX6A1;NPTN;NUDT17;KAT7;TRIM21;NUDT13;ZNF484;ATP6AP2;TOMM20L;NSMCE1;ABHD14A;ZCRB1;COMMD6;TRPC4AP;TSN;ITPKB;FCHSD1;KAT2B;TPST1;SIKE1;ZNF517;ZNF318;FAM32A;SEC22B;SFT2D2;XPR1;ITGB3BP;ZNF233;BCAT2;ZNF155;ZNF197;FECH;COX16;SDSL;NSL1;FBXL20;TMEM203;XRRA1;NPHP1;ZNF546;ZNF585B;YKT6;ATP6V1C1;ZNF222;ISOC2;NQO1;ZNF461;ZNF582;ABCA5;JUP;ZNF182;FBXL17;KAZALD1;TMEM60;YEATS2;SERINC3;CLEC2D;CNIH4;FAM50B
