	Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
1	ZNF181	37/299	7.90709020095274e-13	1.32601902669977e-09	0	0	4.6228236432082	128.818893382532	ZNF331;ZNF253;ZNF570;ZNF43;ZNF518A;ZC3H6;ZNF24;FAM214A;TOB1;ZBTB41;ZFP14;SESN3;TP53INP1;ZNF569;ZNF546;ZNF766;ZNF226;ZNF644;ZNF585B;KANSL1L;ZNF302;ZNF268;ZBED5;ZNF224;TRIM23;ZNF189;ZNF441;ZNF140;TSC22D1;ZNF260;ZFP90;SH3YL1;ZFP62;ZNF638;ZNF616;YPEL5;YPEL2
2	ZNF234	36/299	3.66656306321836e-12	3.07441312850859e-09	0	0	4.47288680900848	117.779010533362	ZNF397;ZNF155;ZNF331;ZNF253;ZNF570;ZNF43;ZNF518A;NREP;ZFP14;ZNF549;TP53INP1;ZNF546;ZNF766;ZNF226;ZNF585B;ZNF302;ZNF268;ZNF224;ZNF222;ZNF189;ZNF485;ZNF285;ZNF284;ZNF260;ZNF160;ZBTB38;ATRX;ZNF181;ZFC3H1;ATP2B4;ZFP90;ZFP62;ZNF616;ZNF613;TRIM38;ZNF233
3	ZNF283	34/299	7.14840273237292e-11	2.39757427643788e-08	0	0	4.17778920639002	97.5996192573652	ZNF155;ZNF331;ZNF253;ZNF570;ZNF43;ZNF518A;FAM214A;ZFP14;SESN3;TRIM2;TMEM67;ZNF569;NRCAM;ZNF546;ZNF226;ZNF585B;ZNF302;ZNF268;ZNF224;ZNF222;ZNF189;ZNF485;ZNF441;ZNF285;ZNF461;ZNF284;TSC22D1;ZNF260;ZNF160;ATRX;ZNF181;XRN1;FAT4;ZNF233
4	ZNF527	34/299	7.14840273237292e-11	2.39757427643788e-08	0	0	4.17778920639002	97.5996192573652	ZNF155;ZNF331;ZNF253;ZNF570;ZNF43;ZNF518A;ZC3H6;ZFP14;SESN3;ZNF549;ZNF569;ZNF546;ZNF667;ZNF766;ZNF226;ZNF585B;ZNF302;ZNF268;ZNF224;ZNF222;ZNF485;ZNF441;ZNF285;ZNF461;ZNF284;ZNF140;ZNF260;ZNF160;ATRX;ZNF181;ZFP90;ZNF616;ZNF613;ZNF233
5	ZNF606	34/299	7.14840273237292e-11	2.39757427643788e-08	0	0	4.17778920639002	97.5996192573652	ZNF331;ZNF253;ZBED8;ZNF570;ZNF43;NREP;FAM214A;ZFP14;ZNF549;TP53INP1;ZNF569;ZNF667;ZNF226;ZNF644;ZNF585B;ZNF302;ZNF268;ZBED5;ZNF224;ZIK1;ZNF189;ZNF441;ZNF461;ZNF140;ZNF260;ZFP3;ZNF160;ATRX;ZNF181;ZFP90;ZFP62;ZNF616;ZNF613;TRIB2
6	ZNF345	32/299	1.21711323882332e-09	2.55137362688338e-07	0	0	3.88892492194604	79.8271217862784	ZNF397;ZNF155;ZNF331;ZNF253;ZNF570;ATP8A1;ZNF43;ZNF518A;NREP;ZC3H6;FAM214A;ZFP14;ZNF549;TP53INP1;ZNF569;ZNF667;ZNF226;JARID2;ZNF585B;ZNF302;ZNF268;ZNF224;ZNF441;ZNF461;ZNF284;ABCA5;ZNF260;ZFP3;ZNF160;ZNF181;YPEL1;ZNF613
7	ZNF547	32/299	1.21711323882332e-09	2.55137362688338e-07	0	0	3.88892492194604	79.8271217862784	ZNF155;ZNF331;ZNF253;TNFAIP8;ZNF570;ZNF43;ZBTB45;CLU;ZFP14;ZNF549;TP53INP1;ZNF569;ZNF667;ZNF425;ZNF766;ATXN7L1;ZNF226;ZNF585B;ZIK1;ZNF222;ZNF441;ZNF285;ZNF461;ZNF284;ZNF140;ZNF181;ZFP90;ZNF616;ZNF613;ZNF436;YPEL5;ZNF555
8	ZNF570	32/299	1.21711323882332e-09	2.55137362688338e-07	0	0	3.88892492194604	79.8271217862784	ZNF155;ZNF331;ZNF253;TMTC2;ZNF43;ABAT;ZFP14;SESN3;TMEM67;ZNF549;ZKSCAN8;ZNF569;NRCAM;ZNF546;ZNF667;ZNF585B;ZNF268;ZIK1;ZNF222;ZNF485;ZNF441;ZNF484;ZNF285;ZNF461;ZNF284;ZNF260;ZFP3;ATRX;ZNF181;ZNF616;ZNF613;FAT4
9	ZNF836	31/299	4.76400657568783e-09	7.9892390274285e-07	0	0	3.74678092587908	71.7964785519229	ZNF331;ZNF253;KANK1;ZNF572;ZNF570;ATP8A1;ZNF43;NREP;ZC3H6;FAM214A;ZFP14;SESN3;ZNF549;TP53INP1;ZNF667;ZNF766;ZNF226;ZNF585B;ATP7A;ZNF285;ZNF461;ZNF284;ZNF260;ZFP3;ZNF160;ATRX;ITPKB;ZNF616;YPEL1;ZNF613;YPEL2
10	ZNF84	31/299	4.76400657568783e-09	7.9892390274285e-07	0	0	3.74678092587908	71.7964785519229	ZNF331;ZNF253;TOP2B;ZNF43;ZNF518A;ZDHHC21;NREP;ZC3H6;ZNF24;SESN3;ZMYM4;TRIM2;TP53INP1;BBX;ZNF569;ZNF226;ZNF644;ZNF302;ZNF268;ZBED5;ZNF224;ZNF140;TSC22D1;ZNF260;ZNF160;ATRX;ZFC3H1;XRN1;ZFP62;ZNF638;TRIB2
