	Term	Type	Overlap	P.value	Adjusted.P.value	Genes
11	TAF1	hg19	62/1695	0.00045038866042897	0.0328492666110721	TP53RK;FASTKD2;ZDHHC7;AUP1;TSEN2;SIPA1L3;ZNF48;IPO4;TMEM223;SERP1;ZNF408;FGFR1OP2;ZNF280C;XPO5;ZNF689;ATXN7L2;JUNB;SEC13;NSUN5;ITGA3;TSC22D2;FAM207A;COQ10B;ATXN2L;CLDN4;SFPQ;KAT6A;TMEM79;NSRP1;SF3B4;ZNF672;SF3B3;NUFIP2;YTHDC1;ZNF2;NRF1;FBXO42;BCL2L13;BAG1;ZNF703;ZNF621;ATRIP;COX10;FAM83B;ZNF143;JUN;CNBP;ZBTB11;YY1AP1;ZC3HC1;CLK1;NR4A2;NPLOC4;BCL6;KANSL2;ZNF778;INTS6;TRMT11;FAU;FARSA;ZNF410;ATR
12	GABPA	hg19	56/1494	0.000483077450162825	0.0328492666110721	AVEN;FEN1;CLSTN2;SETD6;ZDHHC7;AUP1;IPO4;TMEM222;CNST;SERP1;ZNF408;XPO6;TRAPPC12;JUNB;ZNF202;ZNF121;SEC13;NSUN5;FBXW11;COG3;FAM207A;TRAF1;BIRC6;ITGB1BP1;IPPK;SEMA7A;ZBTB43;ZNF22;TRMT2A;ZNF2;BARX2;ATXN2;SEC14L1;ZNF707;BEND3;ZNF622;TRIM44;COX10;ZNF341;FBXO38;SGTA;FBXL18;B3GALT6;ZBTB11;ZC3HC1;COPS3;NPLOC4;SH3BP5L;CLCF1;SERBP1;TRMT6;AAK1;ZNF778;TRMT11;FARSA;ZNF530
13	CHD1	hg19	70/2000	0.000651197945269188	0.0408751941030506	KCNG1;SETD5;ZNF451;SETD2;FEN1;ITPRIP;ZNF250;ZMYND19;FAM89A;CLTB;BACH2;SH3RF1;YY1;ZC3H12C;TMEM222;SENP5;TMEM44;BCL7B;ATXN7L2;JUNB;ZNF565;ZHX2;ITGA3;AXIN1;FAM207A;FBXO10;COQ10B;YDJC;ZEB1;NPC1;TRAF4;BIN1;ZNF639;KAT6A;BIRC6;NSRP1;ZNF597;ZNF672;ZCCHC8;ISG20L2;NRF1;BCL2L13;NUAK2;FAM184A;ZNF703;BEND3;ZNF746;ABL2;ZNF143;SEC24A;ATP8B1;TNFRSF10B;CORO2B;YY1AP1;TNFRSF10D;CNOT4;BCL9;YRDC;NPLOC4;NR6A1;BCL6;ZDHHC9;KANSL2;CLCF1;SERBP1;CNOT3;ZNF778;INTS6;FAU;ZNF574
14	CREB1	hg19	53/1423	0.00079551755723019	0.0449714821976646	ZNF451;FEN1;CLTB;IRS2;TMEM222;ZC3H12A;IQCB1;ABT1;ZNF121;SEC13;NSUN3;TRAF2;IQCC;BAZ1B;COQ10B;SFPQ;NPC1;ZNF317;NSRP1;IPPK;ZNF593;NUFIP1;NUFIP2;YTHDC1;ABHD2;ZBTB49;CLEC16A;FBXO42;BCL2L13;SEC14L1;ATRIP;ZNF620;COX10;ZNF143;SEC24A;FBXO38;SIAH2;XRCC2;SGTA;FBXL18;NR4A2;YRDC;NR6A1;BCL6;ZDHHC9;TRMT6;ZNF614;ZNF778;INTS6;TRMT61A;ZNF410;TRMT61B;ZNF574
15	SIX5	hg19	48/1258	0.00085128986554589	0.0449714821976646	IPPK;ZCCHC8;ZNF473;ZNF451;FEN1;CLEC16A;FBXO48;KATNB1;ZNF2;AUP1;SIPA1L3;BICD2;ZFYVE28;NUDCD1;ZNF628;XPO6;ABL1;ZNF689;SHOC2;ATXN7L2;ZNF565;TNPO2;ZNF200;BANP;ZNF143;FEM1A;FBXW11;FBXO38;ZFR;NUP153;ZBTB11;TOMM40L;ZDHHC14;CNOT4;SH3BP5L;NR6A1;BCL6;KATNAL1;TMEM79;SERBP1;ZNF74;ZNF317;AAK1;ZNF614;TRIP10;FARSA;KBTBD8;ZNF530
16	TAF1	hg19	55/1503	0.000952218622056197	0.0449714821976646	ZNF330;ZNF451;SETD6;IRS2;NRARP;ZDHHC7;SIPA1L3;TMEM222;SIN3B;ZNF408;XPO6;XPO5;TRAPPC12;ZNF689;JUNB;ABT1;TOMM34;IQCC;TRNAU1AP;COQ10B;ATXN2L;TRAF4;ZNF317;KCTD13;B3GNT2;IPPK;SEMA7A;SF3B3;TOMM40;KCNE4;YTHDC1;ZBTB49;NPRL3;ZBTB48;NRF1;SEC14L1;ZNF707;ZNF703;BEND3;ZNF621;CNNM4;TRIM44;FEM1A;SGTB;XRCC2;SGTA;TRMT1;TRIT1;ZC3HC1;YRDC;SGSM3;CNOT3;FAU;ZNF653;ZNF530
17	ELK4	hg19	69/2000	0.00104713010019072	0.0449714821976646	SETD5;TRMU;ZNF330;ZNF131;FEN1;SETD6;ZFAND2A;ZDHHC7;AUP1;IPO4;TMEM222;TMEM223;SERP1;SENP5;ZNF408;BCL7B;TRAPPC12;ITGB8;ABT1;ZNF121;NSUN5;FBXW11;NSUN2;NSUN3;COG3;TRAF1;COQ10B;NPC1;TRAF4;TMEM79;TSNARE1;ZNF597;SF3B4;IPPK;ZNF473;ZNF593;SF3B3;SFSWAP;TRMT2A;ZNF2;CORO1C;ZBTB2;NT5C;BCL2L13;FAM83G;ATXN2;BAG5;SEC14L1;CLPTM1;ZNF668;ZC3H18;SHOC2;COX10;ZNF143;JUN;SEC24A;B3GALT6;YY1AP1;FBXL12;NR4A2;YRDC;SERBP1;TRMT6;TRIM35;ZNF778;ZNF655;TRMT11;BCL2L1;ATR
18	RELA	hg19	69/2000	0.00104713010019072	0.0449714821976646	ITSN2;FEN1;TNFAIP3;NRARP;AUP1;SIPA1L3;TMEM222;CNST;SERP1;NUDCD1;ZNF408;XPO5;BCL7B;TRAPPC12;ZNF689;SERAC1;JUNB;ZNF565;IQCB1;ABT1;ITGA4;FBXW11;FAM207A;TRNAU1AP;BAZ1B;COQ10B;TOMM40L;SFPQ;NPC1;TRAF4;TRAF3;KAT6A;IRF2;KCTD13;B3GNT2;NSRP1;ZNF598;IPPK;ZCCHC8;ZNF473;SEMA7A;SF3B3;SELPLG;NUFIP2;FBXO48;ZNF2;SERTAD2;NRBF2;ZNF622;BANP;SF3A2;SIAH2;B3GALT6;YY1AP1;FBXO30;FBXO31;CNOT4;CLK1;COPS3;IRGQ;NPLOC4;KANSL2;INTS7;TRMT11;FAU;FARSA;KBTBD8;ZNF410;ZNF574
19	ELK1	hg19	69/2000	0.00104713010019072	0.0449714821976646	ZNF330;FEN1;CLTB;IPO4;CNST;SENP5;XPO4;ZNF408;FGFR1OP2;ZC3H12A;ZNF280C;FBXO4;ZNF565;ABT1;ZNF121;TNFRSF12A;NSUN5;FBXW11;NSUN3;COG3;ZFR;TOMM34;AXIN1;IQCC;SFPQ;NPC1;TRAF4;TMEM79;ZNF317;ITGB1BP1;CLOCK;TRIM11;TRIM56;ZCCHC8;ZNF593;SF3B3;NUFIP1;NUFIP2;YTHDC1;ZBTB48;CLEC16A;FBXO42;BCL2L13;FAM83G;ATXN2;BEND3;NRBF2;ZNF622;TRIM44;ZNF143;ZNF142;YTHDF2;SIAH2;SGTA;TNFRSF10B;FBXL18;TRMT1;TNFRSF10A;NR1D1;TRIT1;ZC3HC1;NR4A2;COPS3;BCL6;CLCF1;SFXN1;ZNF653;TRMT61B;ZNF530
20	CREB1	hg19	61/1739	0.00140918214086703	0.054080201481249	ZNF330;ZNF451;ZNF131;ZFAND2A;ZDHHC7;BACH2;ZDBF2;TMEM222;SERP1;SENP5;NUDCD1;XPO4;JUNB;ZNF367;ABT1;ZNF121;SEC13;COG3;IQCC;COQ10B;SFPQ;TMX2;BIRC6;BDP1;NSRP1;SF1;SF3B4;IPPK;ZNF593;NUFIP1;YTHDC1;ABHD2;ZBTB49;ZBTB48;TRMT2A;BCL2L13;SEC14L1;ZNF668;ZC3H18;NRBF2;COX10;ZNF143;XRCC2;SGTA;FBXL18;ZBTB11;FBXO31;CLK1;NR4A2;YRDC;NR4A3;BCL6;ZDHHC9;ZNF614;ZNF778;INTS7;FAU;ZNF653;TRMT61A;ZNF410;TRMT61B
