C0 (619 genes)	C1 (474 genes)
NPHP1	SGMS2
NPL	SGSM3
NPTN	SGTA
NQO1	SGTB
NR0B2	SH2B3
NR1H3	SH2D4A
NR1H4	SH2D5
NR2F1	SH3BP4
NR2F2	SH3BP5L
NR2F6	SH3RF1
NRAS	SHANK3
NRBP1	SHH
NRCAM	SHOC2
NRDC	SHROOM3
NREP	SHROOM4
NRG2	SIAH2
NRN1	SIDT1
NSG1	SIK3
NSL1	SIMC1
NSMCE1	SIN3B
NSMCE4A	SIPA1L3
NSUN7	SIT1
NT5C1A	TMEM201
NT5C3B	TMEM222
NT5DC1	TMEM223
NTHL1	TMEM225B
NTPCR	TMEM236
NTRK1	TMEM238
NUB1	TMEM40
NUCB1	TMEM44
NUDT12	TMEM52B
NUDT13	TMEM74
NUDT14	TMEM79
NUDT16	TMPRSS15
NUDT16L1	TMX2
NUDT17	TNFAIP3
NUDT18	TNFRSF10A
NUDT7	TNFRSF10B
SDSL	TNFRSF10D
SEC16B	TNFRSF11B
SEC22B	TNFRSF12A
SEC61A1	TNFRSF8
SEC62	TNFSF13B
SEC63	TNFSF18
SECTM1	TNNC2
SEL1L	TNPO2
SEMA3F	TNRC6A
SEMA4F	TOGARAM1
SEMA6C	TOMM34
SENP8	TOMM40
SEPSECS	TOMM40L
SEPTIN10	TP53I13
SEPTIN2	TP53RK
SEPTIN6	TP73
SEPTIN7	TPH1
SERINC1	TRAF1
SERINC3	TRAF2
SERINC5	TRAF3
SERPINA4	TRAF4
SERPINA5	TRAF6
SESN3	TRAK1
SEZ6L2	TRANK1
SF3B2	TRAPPC12
SF3B6	TRAPPC13
SFR1	TRIB3
SFRP4	TRIM11
SFT2D1	TRIM28
SFT2D2	TRIM35
SFXN3	TRIM36
SGCE	TRIM44
SGPL1	TRIM56
SH3BGRL	TRIM72
SH3BGRL2	TRIO
SH3BGRL3	TRIP10
SH3D19	TRIT1
SH3KBP1	TRMO
SH3PXD2A	TRMT1
SH3YL1	TRMT10A
SHBG	TRMT10B
SHC3	TRMT11
SHFL	TRMT2A
SHISA4	TRMT44
SHPRH	TRMT6
SIAE	TRMT61A
SIAH1	TRMT61B
SIDT2	TRMU
SIKE1	TRNAU1AP
SIL1	TSC22D2
SIN3A	TSEN2
SIPA1	TSHB
SIPA1L1	TSNARE1
SIRT2	TSPAN11
SIRT3	XPO4
SIRT5	XPO5
SIX5	XPO6
TMEM187	XRCC2
TMEM19	XYLT1
TMEM192	YAE1
TMEM200B	YARS1
TMEM203	YDJC
TMEM216	YJU2
TMEM218	YOD1
TMEM220	YRDC
TMEM230	YTHDC1
TMEM234	YTHDF2
TMEM241	YY1
TMEM250	YY1AP1
TMEM252	ZBED2
TMEM254	ZBED4
TMEM258	ZBTB10
TMEM260	ZBTB11
TMEM30A	ZBTB18
TMEM35B	ZBTB2
TMEM38A	ZBTB21
TMEM41B	ZBTB34
TMEM42	ZBTB39
TMEM45A	ZBTB43
TMEM50A	ZBTB46
TMEM50B	ZBTB48
TMEM53	ZBTB49
TMEM54	ZBTB7B
TMEM59	ZBTB9
TMEM60	ZC3H12A
TMEM67	ZC3H12C
TMEM68	ZC3H14
TMEM72	ZC3H18
TMEM86A	ZC3H8
TMEM8B	ZC3HAV1
TMEM94	ZC3HC1
TMEM98	ZCCHC8
TMF1	ZDBF2
TMIE	ZDHHC14
TMLHE	ZDHHC18
TMTC2	ZDHHC7
TMTC3	ZDHHC9
TMUB2	ZEB1
TMX1	ZEB2
TMX4	ZFAND2A
TNFAIP2	ZFHX4
TNFAIP8	ZFPM1
TNFRSF11A	ZFR
TNFRSF13C	ZFY
TNFRSF17	ZFYVE28
TNFRSF18	ZGLP1
TNFRSF4	ZHX2
TNNT1	ZHX3
TNR	ZIC5
TNS2	ZMYND19
TNS4	ZNF121
TOB1	ZNF131
TOM1	ZNF142
TOM1L1	ZNF143
TOMM20L	ZNF2
TOMM7	ZNF200
TOP2B	ZNF202
TOR1AIP1	ZNF22
TP53INP1	ZNF250
TP53TG5	ZNF263
TPGS1	ZNF276
TPGS2	ZNF280C
TPMT	ZNF316
TPP1	ZNF317
TPPP3	ZNF330
TPRG1L	ZNF341
TPST1	ZNF367
TRABD	ZNF382
TRABD2B	ZNF408
TRAF3IP1	ZNF410
TRAM1	ZNF451
TRAPPC1	ZNF454
TRAPPC11	ZNF473
TRAPPC3	ZNF48
TRAPPC4	ZNF507
TRARG1	ZNF516
TREH	ZNF529
TRERF1	ZNF530
TRGV5	ZNF536
TRIB2	ZNF558
TRIM17	ZNF565
TRIM2	ZNF574
TRIM21	ZNF592
TRIM23	ZNF593
TRIM24	ZNF597
