Term	Type	Overlap	P.value	Adjusted.P.value	Genes
ABCF1	knockdown 96h HEPG2 	16/300	0.00705100941988151	0.0696311065746564	ZNF771;ZNF512B;CPSF4;SETDB1;ZBTB48;ZNF76;IKZF2;ZNF79;ZBTB40;SP1;ZNF639;DDIT3;ZNF668;ZKSCAN5;ZNF688;ZNF696
ABCF1	knockdown 96h MCF7 	19/300	0.000481805558974282	0.00734602283222713	ZBTB39;ZNF384;PRDM9;SETDB1;FOXH1;ONECUT1;RFX3;ARNT;ZNF3;POU6F1;GON4L;SP1;ZNF639;ZNF507;ATF7;LMX1B;ZNF236;NFRKB;ZNF212
ABL1	human kinase ARCHS4 coexpression	21/299	5.86123178468872e-05	0.000697336294383478	ZNF512B;CIZ1;MINK1;MAZ;UBR4;WIZ;ZBTB12;MLLT1;YBX1;CENPB;GATAD2A;NCOR2;LARP1;MTA1;DVL1;ERF;UBTF;DVL3;ZNF777;PRR12;CIC
ABL1	knockdown 96h A549 	20/300	0.000176595397608658	0.00417865992783084	ZBTB17;ZNF460;ZNF250;SRF;DOT1L;ONECUT1;PAX3;ZNF3;ZNF79;ETV3;ZFP36L1;ZBTB40;ZNF205;ZKSCAN5;CLOCK;RREB1;ZNF136;ZNF696;ZSCAN2;ZNF343
ABL1	knockdown 96h HT29 	16/300	0.00705100941988151	0.0376743083959651	ZNF287;ZNF550;GCM1;EGR4;SETDB1;PPP1R10;ARNT;ASH1L;HOXD11;POU6F1;ZNF7;YY2;SP4;PKNOX1;CLOCK;ZNF576
ABL2	knockdown 96h A375 	17/300	0.00305087229815463	0.022828292925001	PRDM8;ZBTB17;GMEB1;PRDM9;SETDB1;ZBTB48;ZBTB1;ZNF76;WIZ;PRDM13;AFF3;ETV3;MECP2;ZNF407;SNAPC4;ZKSCAN5;ZNF696
ABL2	knockdown 96h A549 	19/300	0.000481805558974282	0.00734602283222713	CPSF4;ZNF142;PRDM9;POU2F1;SETDB1;AKAP8L;ZNF180;WIZ;RFX1;ZNF3;OVOL1;PRDM10;PML;ZBTB40;MECP2;ZNF407;SNAPC4;ZKSCAN5;ZNF696
ABL2	knockdown 96h HA1E 	17/300	0.00305087229815463	0.022828292925001	ZNF274;ZNF460;HOXD13;PRDM2;MLLT1;ZNF3;ETV3;ZFX;THAP3;YY2;RFX7;SIX5;ZNF668;LMX1B;CBLL1;ZNF576;SOX5
ABL2	knockdown 96h HCC515 	22/300	2.03766961464802e-05	0.00107612580808368	PRDM8;ZNF771;ZNF484;ZNF140;ZNF184;IRX5;FOXH1;PAX3;PRDM2;RFX1;ZNF3;NRF1;ZNF79;GLI2;ZNF280B;ZNF205;ZKSCAN5;ZNF248;ZNF236;ZNF324;CCDC71;ZNF200
ABL2	knockdown 96h HT29 	18/300	0.00124637773103665	0.0132801182804022	ZBTB17;TIPARP;AKAP8L;WIZ;BAZ2A;NRF1;IKZF2;ZNF79;AFF3;NR2C2;NPAS1;RUNX1;NR2F6;RELB;NR4A3;NHLH1;DVL2;ZSCAN2
ABL2	knockdown 96h PC3 	17/300	0.00305087229815463	0.022828292925001	ZNF287;ZNF440;ZNF460;PRDM9;TIPARP;MINK1;RFX3;PRDM2;IKZF2;ZNF79;NR2C2;RUNX1;ZNF280B;SP4;ZNF407;TBX21;ZFP64
ACVR1	knockdown 96h A375 	19/300	0.000481805558974282	0.00734602283222713	ZNF287;ESRRA;ZCCHC6;ARNT;BAZ2A;OVOL1;ETV3;CENPB;THAP3;NCOR1;GON4L;MYC;SNAPC4;ZNF668;ZKSCAN5;RREB1;ZNF202;ZNF696;ANAPC2
ACVR1	knockdown 96h A549 	21/300	6.14902793400398e-05	0.00213400550395338	MLXIP;ZNF440;ZNF282;SRF;MINK1;DOT1L;PAX3;MLLT1;NR3C1;NR2F6;ZBTB40;ELK4;MECP2;EWSR1;ZNF408;ZNF639;ZNF768;ZNF778;ZKSCAN5;ZNF354A;ANAPC2
ACVR1	knockdown 96h HCC515 	17/300	0.00305087229815463	0.022828292925001	ZNF282;TSC22D2;ZBTB48;XPA;TCF20;NRF1;IKZF2;POU2F2;AFF3;POU6F1;PHF8;KAT5;ZNF507;TBX21;ZNF506;RBM10;RCOR1
