Term	Type	Overlap	P.value	Adjusted.P.value	Genes
ELF1	hg19	161/1699	0.00259430565561878	0.0129082525303959	ZNF331;ZNF572;TMEM167A;ZBTB26;SYAP1;GCC2;F11R;LIPA;ZFYVE1;SAT1;ALKBH3;TFG;OSBP;STK16;ZNF449;ARFIP1;TBC1D22A;CDK5RAP3;RARS2;ZNF285;RPS7;ESCO1;TINF2;COG1;CDKAL1;ZCRB1;THOC5;ATG13;RINT1;THAP6;THAP5;LACTB2;SPNS1;ANAPC4;YME1L1;TMEM126B;TBC1D23;STAMBP;ALPK1;KCTD18;FAM8A1;SRSF9;ZNF155;ZNF397;COPB2;EXD3;RWDD2B;RETSAT;COX16;COPB1;STXBP2;GLT8D1;SDR39U1;ABCB8;OMA1;KRCC1;ZBTB4;CHTF8;NTHL1;TMEM127;ZNF549;VPS8;ZKSCAN3;ZNF425;RAB6A;ZNF268;NEK9;OSBPL8;KLHDC3;TMEM184C;ACBD5;XRCC4;ZNF140;STK11IP;TMEM120A;WDR53;RFXANK;COPS5;TDP2;NMT1;CHMP2A;TAB3;NDUFAF1;ABCD4;FASTKD1;CHM;JRKL;GLI4;ARV1;GATAD1;SDF4;CEP290;COA5;OFD1;ZNF485;ZER1;SPHK2;EXOC7;LRRC49;ANXA4;SSR2;ZDHHC13;TCTE3;WDR35;COMMD4;COPZ1;COQ10A;ITFG1;FAM189B;SYF2;NDUFS4;CLDN12;EXOC5;ZNF512;GAS8;EXOC1;CD63;ASAH1;ZNF197;RNASEK;NDUFB7;NDUFB6;ATF6B;SSNA1;VPS4B;SRBD1;PARN;COX5B;STYXL1;ERLEC1;NFS1;RECQL5;PAIP2;YKT6;ZNF224;ZNF222;WDR17;NQO1;ZNF582;YIPF1;TAF12;STAT2;AGL;ZNF182;NDUFA2;YIPF5;GATC;ZFC3H1;CTNS;AP2B1;FMO5;WDR11;RSPH1;NEURL2;KIAA0586;AGBL2;AGGF1;RAB3GAP2;RBM45;CLUAP1;FAM50B
ELF1	hg19	178/1859	0.000970500790993926	0.0065994053787587	ZNF331;GHDC;ZNF691;RFESD;ZBTB26;SYAP1;LIPA;ZFYVE1;NUDT6;ALKBH3;ABHD10;TFG;CREB3L4;FPGT;STK16;SPATA24;ZNF569;ARFIP1;OSTF1;KIFAP3;TBC1D22A;CDK5RAP3;RARS2;RAB2B;ZNF285;ALG6;RPS7;ESCO1;ZNF160;SACM1L;NSMCE1;ZCRB1;THOC5;ATG13;LZTFL1;RINT1;THAP6;THAP5;RALGAPB;RFX5;SPNS1;SUCLG1;TMEM126B;STAMBP;KCTD18;FAM8A1;ASF1A;ZNF155;ZNF397;TMEM185A;ZCCHC7;EXD3;TMED10;RETSAT;COX16;ANAPC16;COPB1;STXBP2;ARL1;GLT8D1;ZNF23;OMA1;RPAP3;WDR66;NEU3;COMMD8;CHTF8;NTHL1;TMEM127;ZNF549;VPS8;STK38L;FOPNL;LTA4H;NDUFV1;FDFT1;WDTC1;TMEM184C;ACBD5;ABCA5;XRCC4;VTA1;ANKRD22;SYNRG;WDR53;RAB27B;SUPT5H;ACADSB;COPS4;GGCX;CCPG1;PYROXD2;NDUFAF1;FBXL4;LMBR1L;FASTKD1;GFM2;SPIN3;CHM;ETFA;WDR45;GLI4;ARV1;GM2A;SCRN3;GATAD1;TCP11L1;SDF4;ACP2;SDF2;CTSC;ZNF484;CERS5;ACTR6;LRRC49;SSR2;LANCL1;KIAA1143;AKR1A1;WDR31;WDR35;COMMD4;ITFG1;FCHSD1;AFTPH;SYF2;ACOX1;NME7;ZNF517;EXOC4;EXOC5;ZNF512;PAFAH1B2;EXOC1;ZNF197;NDUFB7;CLDND1;NDUFB6;ATF6B;NDUFB5;VPS4B;SRBD1;GBA;PARN;AGPAT1;ERLEC1;EXTL2;ZFP14;NFS1;ORMDL3;RPS3;YKT6;ZNF224;ZNF222;FKTN;WDR17;NQO1;YIPF1;STAT2;AGL;ZNF182;NDUFA2;YIPF5;WDR19;GATC;AP2B1;RANBP6;RAB11A;FIG4;KBTBD4;NUDT7;KRT19;SYT11;AGBL2;RAD1;COPG2;RBM45;FAM50B
ELF1	hg19	186/2030	0.00524258614509058	0.0206664265429658	ZNF331;GHDC;ZNF572;TMEM167A;TMEM179B;GCC2;ACCS;ZFYVE1;RGS5;TBK1;TFG;OGFOD2;FDXR;NUDT18;ZNF569;ZNF326;ARFIP1;TBC1D22A;RARS2;STARD3;RAB2B;ZNF285;RALBP1;RPS7;STX8;ZNF160;SACM1L;TINF2;CDKAL1;ZCRB1;SCAMP1;THOC5;THAP6;ZFYVE16;TIPRL;TCEANC2;YME1L1;STAMBP;ALPK1;KCTD18;ZNF155;ZNF397;ZCCHC7;EXD3;RETSAT;COX16;FAM114A2;COPB1;SUPT4H1;ABCB8;COPS7A;GABARAP;NCSTN;KIF3B;ZMAT2;NTHL1;TMEM127;ZNF549;VPS8;ZKSCAN3;ZKSCAN5;RAB6A;ZNF302;ZNF268;ZKSCAN1;VTI1B;FDFT1;LHPP;TMEM184C;ACBD5;XRCC4;ZNF140;STK11IP;VTA1;LARP7;SUPT5H;NMRAL1;TBCK;ARL2BP;ZFP62;NOXA1;NMT1;WDR5B;CHMP2A;TAB3;NDUFAF1;XKR6;CEP89;ITGB1;INVS;ABCD4;ARF4;FASTKD1;COX4I1;CLTC;ARHGAP1;CHM;ZBTB8OS;ARV1;RSRC1;OPA3;SCRN3;GATAD1;TCP11L2;SDF4;ZNF766;SDF2;AP3S1;COA5;OFD1;ZNF485;LRRC46;PARP4;SPHK2;ACTR6;SSR2;ZDHHC13;AP3B1;JOSD2;COMMD6;TCTE3;COMMD4;COPZ1;ITFG1;IQCH;RBL2;RABEP2;SYF2;ACOX1;EXOC4;SPOPL;EXOC5;ZNF512;PAFAH1B2;ITGB3BP;EXOC1;CHMP5;CD63;ASAH1;ZNF197;RNASEK;ATF6B;STX16;VPS4B;PARN;ZDHHC21;TM2D3;CCNDBP1;COX5B;STYXL1;NRAS;ZFP14;RECQL5;FAM168A;OS9;SAP30L;RPS3;ZNF226;YKT6;ZNF224;ZNF222;ZNF189;RNF20;YIPF1;CHURC1;TAF12;STAT2;AGL;ZNF182;ZFC3H1;APEX2;AP2B1;FMO5;WDR11;RAB11B;TM9SF2;LYRM2;CCNG1;AGBL2;RAB18;AGGF1;RAD1;LAMTOR2;RBM45;FRYL;FAM50B
ELF1	hg19	205/2019	1.27119870604187e-05	0.000545946391647456	ABAT;SPATA20;LIPA;ZFYVE1;NUDT6;ZDHHC4;ALKBH3;ALKBH2;NUB1;TBK1;TFG;SPATA24;CDK5RAP3;ESCO1;ZNF160;ATG13;THAP6;THAP5;XRN1;LACTB2;YME1L1;SUCLG1;ALPK1;NGEF;ASF1A;ZNF397;EXD2;RWDD2B;RETSAT;STXBP3;AASDH;ABCB8;COPS7A;ZNF23;OMA1;LIAS;GABARAP;ADH5;RPAP3;COMMD8;CHTF8;NTHL1;RAD21;VPS8;SCAP;ZNF268;APOBEC3C;TMEM184C;XRCC4;STK11IP;LYZ;ANP32E;NDUFAF1;ITM2C;GFM2;SPIN3;CHM;GLI4;TCTN1;JAK3;ACADS;CTSC;ZNF485;ZNF484;TMEM150A;SPHK2;LRRC49;SSR2;KIAA1143;AKR1A1;WDR31;ZDHHC13;AP3B1;TMC4;COMMD4;COQ10A;RAP2C;AFTPH;CRELD1;RCCD1;PAFAH1B2;GAS8;ZNF233;EXOC1;RNASEK;CLDND1;SSNA1;ADAM22;ZDHHC23;OVCA2;COX5B;FAM214A;ZFP14;ORMDL3;RPS3;STAT6;ZNF347;YKT6;ZNF224;ZNF582;YIPF1;YTHDF3;LRRC27;AGL;YIPF5;WDR19;GATC;AP2B1;RANBP6;TM9SF2;KBTBD4;AGBL2;AGGF1;RAB3GAP2;COPG2;CEP41;ZNF691;TMEM179B;ZBTB26;SYAP1;NDUFA10;CIB2;LCLAT1;TMEM141;ABHD10;FPGT;NUDT18;ZNF569;FAM3C;FADS1;ZNF441;RARS2;RPS7;ZCRB1;LZTFL1;RINT1;FKBP8;CHMP4C;TBC1D23;TCTA;SRSF9;COPB2;ZCCHC7;LRRC56;TMED10;COX16;FAM114A2;COPB1;SPATA6;NPHP1;ZNF549;ZNF425;FOPNL;NDUFV1;ZKSCAN1;KLHDC2;OST4;KLHDC3;TMEM120A;VTA1;CHMP2B;CHMP2A;RAD9B;ZNF652;KLHDC9;ITGB1;LGALS3BP;LMBR1L;ABCD4;ACADVL;ETFA;AP4M1;GM2A;GATAD1;SCRN2;FLOT2;COA5;ARAP1;FCHSD1;FAM189B;NSMCE4A;ACOX1;ZNF517;ZNF513;ZNF512;ZNF197;NDUFB7;NDUFB6;SRBD1;PARN;TM2D3;TFPI;FBXL20;FAM120B;FKTN;NDUFA5;ZNF182;ZFC3H1;GALNS;RSPH1;NEURL2;SYT11;GALM;RBM45;CLUAP1
ELK1	hg19	190/2000	0.000951615276855204	0.00652536189843568	ZNF572;RPL30;ZNF691;TMEM179B;NDUFA12;ZBTB26;NDUFA10;THYN1;LRRC70;SAT2;GCC2;SPATA20;ZFYVE1;SAT1;LCLAT1;ZDHHC4;ALKBH2;ABHD10;TFG;FPGT;ZNF449;TBC1D10C;ZNF569;ARFIP1;KAT7;OSTF1;ACAD11;KIFAP3;ZNF441;ALG6;RPS7;COG5;FBXO16;ZNF160;TINF2;RNASE4;ZCRB1;THOC5;THAP6;ADAM17;ZFYVE16;NEIL2;RUFY4;LACTB2;RFX5;TIPRL;ANAPC4;YME1L1;STAMBP;FAM8A1;XPR1;KCTD16;EXD2;ZNF671;RWDD2B;NLRX1;COX16;YTHDC2;COPB1;RPN1;STXBP2;WDR63;GLT8D1;SDR39U1;ABCB8;COPS7A;CREBL2;ZNF23;OMA1;KRCC1;RPAP2;CORO1B;WDR66;NEU3;CHTF8;XRRA1;RAD21;TCTEX1D2;S100A13;AMZ2;ZNF546;NDUFV1;FDFT1;LHPP;APOBEC3C;OST4;ACBD5;VTA1;TCEANC;PARP10;EXT2;ALDH6A1;PAH;PXMP4;RAD9B;LGMN;ITM2C;ITGB1;LMBR1L;ABCD4;ZNF253;ACADVL;PCDHGB7;FASTKD1;SPIN3;LRRC6;LSP1;WDR45;LRRC1;COIL;ARV1;ACP6;GATAD1;TCTN1;SCRN2;ACP2;CTSC;COA5;ZNF484;CDADC1;ACTR6;EXOC7;ANXA4;KIAA1143;WDR31;ZDHHC13;NRG2;ZNF75D;COMMD4;COPZ1;IQCG;IQCH;NSMCE4A;ALDH5A1;ZNF638;PCCB;EVL;CRELD1;ITGB3BP;ZNF233;RNFT2;NDUFB7;RALB;SSNA1;SRBD1;ADAM22;RBM4B;PBXIP1;STYXL1;ERLEC1;ZFP14;TMEM168;NFS1;CNPY4;OS9;RPS3;RALY;AGA;ZNF347;RBBP7;TAF9B;YKT6;ZNF224;ZNF582;NDUFA5;LRRC27;STAT2;RNF26;ZNF182;NDUFA2;GATC;APEX2;PDE4DIP;LYSMD3;AP2B1;SUOX;ALDH4A1;GALNS;FIG4;KBTBD3;LYRM2;GATM;FAM167A;SYT11;ASB8;GLOD4;R3HCC1;CEP41;RBM45;CDKN3
ELK1	hg19	191/2000	0.000715030170443595	0.00572452351649004	ZNF331;ZNF691;CMAS;NDUFA12;ZBTB26;SYAP1;NDUFA10;RASEF;GCC2;ZFYVE1;LCLAT1;TMEM141;ZDHHC4;ALKBH2;RGS5;KRTCAP2;ABHD10;ALCAM;TFG;FAM162A;FPGT;OSBP;STK16;CDK5RAP3;FBXO9;ZNF441;FBXO16;GLCE;ZNF160;NSMCE1;ATG10;COG1;CDKAL1;THOC5;NRBP1;XRN1;RFX5;YME1L1;SUCLG1;ZNF555;FAM8A1;ASF1A;SRSF9;ZNF155;EXD2;EXD3;RWDD2B;ABCB6;COX16;YTHDC2;COPB1;GLT8D1;COPS7A;ZNF23;ARPP19;AK7;OSGEP;ADH5;NEU3;TMEM123;COMMD8;CHTF8;TCTEX1D2;ZKSCAN3;S100A13;ZNF425;FOPNL;NDUFV1;LHPP;WDTC1;NEK9;RAB4A;TMEM184C;ACBD5;TMEM120A;ERLIN1;WDR53;CIDEB;SUPT5H;COPS4;FA2H;CNOT7;COPS5;ARL2BP;TDP2;CPD;WDR5B;ANP32E;ACO1;PYROXD2;NDUFAF1;CNIH4;LGMN;ITM2C;LGALS3BP;ACADVL;WDR48;SPEF1;GFM2;SPIN3;NGLY1;PDE3B;ADAR;ZC3H6;AFF1;COIL;GLI4;GM2A;AIFM2;IQUB;GATAD1;SCRN2;ANXA6;SDF4;ACP2;PAAF1;COA5;ZNF485;CERS5;PARP4;ATMIN;SPHK2;PARP2;GAA;SSR2;ROM1;ITGA1;KIAA1143;IQCE;WDR31;ZDHHC13;AP3B1;COMMD6;NUDT16L1;COMMD4;COPZ1;ITFG1;ANO3;KAT2B;AFTPH;RCN2;RILPL2;SYF2;ACOX1;ZNF638;TMBIM1;EXOC4;EXOC5;ZNF512;PAFAH1B2;ITGB3BP;EXOC1;PCYOX1;OAT;ADAM22;SAMHD1;AP3M2;LIMA1;SRR;NFS1;FAM120B;TIFA;ORMDL3;TAF9B;YKT6;RILP;ZNF222;NDUFA8;NDUFA5;YTHDF3;GALNT2;NDUFA2;YIPF5;AP2B1;SUOX;CPPED1;FIG4;TEF;APC;NEURL2;SYT11;ASB8;GLOD4;R3HCC1;AGGF1;RAB3GAP2;LAMTOR2;RTN4IP1;CEP41;CLUAP1;GLA
ELK1	hg19	197/2000	0.000113198994442969	0.00192438290553048	RB1;RPL30;AHCYL1;IPP;GCC2;NUDT6;ZDHHC4;ALKBH3;ALKBH2;TFG;NIPAL3;ACAD11;KIFAP3;TBC1D22A;XYLB;STARD4;NHLRC4;ZNF160;COG1;THAP6;NEIL2;THAP8;LACTB2;YME1L1;SUCLG1;KCTD18;ASF1A;ZNF155;EXD2;RWDD2B;RETSAT;ANAPC16;STXBP3;FUT11;SDR39U1;ZNF23;OMA1;NTHL1;RAD21;VPS8;SCAP;KIAA0319L;VTI1B;TMEM184C;FAM78A;SYNRG;PARP14;PARP11;NDUFAF1;RGL2;ITM2C;SPEF1;FASTKD1;GFM2;SPIN3;CROT;GLI4;ARV1;AIFM2;CTSC;ZNF485;PARP4;EXOC7;PARP2;STRADA;SSR2;KIAA1143;AGTRAP;TET1;AP3B1;COMMD6;WDR35;COMMD4;COQ10A;AFTPH;RILPL2;TMEM106C;RAPGEF3;EXOC1;STX16;GBA;OVCA2;COX5B;STYXL1;ZFP14;RECQL5;ORMDL3;ZNF347;YKT6;ZNF224;ZNF222;ZNF582;YIPF1;CDKN2C;YTHDF3;LRRC27;STAT2;AGL;YIPF5;FIG4;LYRM2;KRT19;CCNG1;R3HCC1;AGGF1;RAB3GAP2;LAMTOR2;RTN4IP1;ZNF572;ZNF691;KDM1A;TMEM179B;KDM1B;FMR1;ZBTB26;NDUFA10;CIB2;TMEM141;TM7SF2;FAM162A;FPGT;OSBP;ZNF569;NUDT17;FADS1;ZNF441;RPS7;ZCRB1;THOC5;LZTFL1;SPOCD1;RINT1;ADAM17;TIPRL;SPNS1;FKBP7;ZNF436;STAMBP;FAM161B;FAM8A1;ISCU;SRSF9;LRRC56;TMED10;FAM149B1;ARL6;YTHDC2;GLT8D1;NTPCR;SPATA6;CORO1B;TMEM127;ZNF425;NDUFV1;KLHDC2;OST4;ACBD5;WSCD2;GLMN;ARPC5;AP4B1;CNOT7;NIT1;RAD9B;ABCD4;ETFA;ADAR;GM2A;GATAD1;SCRN2;FLOT2;ZNF766;COA5;APAF1;ACTR6;FAM189B;NSMCE4A;PCCA;ITGB3BP;ZNF197;NDUFB7;ATF6B;RGS14;SRBD1;RBM4B;ZBTB41;NT5DC1;FAM120B;SAP30L;TIFA;FDXACB1;RNF20;APC;NEURL2;SCD;XPNPEP3;APLF
ELK1	Human	38/309	0.0026733619599232	0.0404734566490699	ARF4;CD63;RNASEK;AMIGO2;AK3;CREBL2;ADAR;SPINT2;SPATA20;TFPI;LAPTM4B;LAPTM4A;SCP2;TCEAL4;YWHAQ;LAMP2;TIMP2;CPNE3;RAB6A;FBXO9;KLHDC2;OST4;CDK19;TMEM184C;ANXA5;NEK7;FBXL17;NDUFC1;SVIP;PTRHD1;FOLH1;COPS5;TAX1BP1;AIDA;LAMTOR4;STEAP2;ITM2B;ISCU
ELK4	hg19	181/2000	0.00945562103061004	0.0318834163676768	EXOC3L1;OTUD5;GHDC;ZNF691;RTKN;CHPF;TMEM167A;KDM1B;RFESD;ZBTB26;SYAP1;STMN3;ARID4A;CIB2;GCC2;COX6A1;SAT1;ZDHHC4;TFG;FPGT;STK16;OGFOD2;PAPOLA;ARFIP1;KAT7;ZNF687;ACAD11;ACAA1;TBC1D22A;FBXO9;RARS2;TLE4;STARD3;RPS7;ZNF160;TINF2;ARMC9;ZCRB1;SCAMP1;THOC5;ADAM17;RALGAPB;FAM161B;FAM8A1;SRSF9;KCTD16;ZNF155;ZNF397;COPB2;EXD3;ARL6;SUPT4H1;GLT8D1;COPS7A;COX7A2;ZBTB4;NCSTN;NTHL1;TMEM127;ZNF549;ZKSCAN3;ZKSCAN5;ZNF425;FOPNL;KDSR;KIAA0319L;ZKSCAN1;VTI1B;KLHDC2;NEK9;CD164;KLHDC3;RAB4A;TMEM184C;ACBD5;XRCC4;STK11IP;TMEM120A;VTA1;TCEANC;LARP7;WDR53;PARP11;TFCP2;NOXA1;WDR5B;TAB3;RGL2;CEP89;ITGB1;INVS;ARF4;GFM2;COX4I1;CLTC;ARHGAP1;SRP54;NXT2;AP4M1;GLI4;ARV1;CPT2;GATAD1;SDF4;FLOT2;SDF2;AP3S1;PAAF1;COA5;OFD1;CERS5;LRRC46;ATMIN;TIGD7;ACTR6;AP3B1;ARAP1;COMMD6;TCTE3;LRRC41;ITFG1;IQCH;SYF2;ACOX1;NME7;EXOC5;PAFAH1B2;ITGB3BP;EXOC1;RNFT2;KDM3A;WBP2;VPS4B;NDUFB3;PARN;ZDHHC23;ZNF518A;CCNDBP1;OVCA2;AGPAT1;STYXL1;TM9SF3;EXTL2;NRAS;RECQL5;FAM120B;RPS3;ANKRD54;RALY;ZNF226;SCAND1;RBBP7;PAIP2;YIPF1;CHURC1;GCA;TAF12;STAT2;STAT3;YIPF5;FBXL17;CTNS;AP2B1;RAB11A;RAB11B;RSPH3;FIG4;TM9SF2;KBTBD4;LYRM2;SPCS1;GLB1L;ABI2;CCNG2;XPNPEP3;CDK2AP2;STUB1;RAD1;P4HB;RBM45;FRYL
ELK4	hg19	185/2000	0.00362397091377134	0.0162270375928782	GHDC;RPL30;ZNF691;TMEM179B;KDM1B;NDUFA12;SYAP1;CIB2;CCNC;GCC2;ACCS;COX6A1;ANTXR1;ZDHHC4;ALKBH2;RGS5;LAPTM4A;SAMD15;TBK1;ALCAM;TFG;FPGT;ARFIP1;KAT7;ACAD11;NUDT12;FBXO9;RARS2;RPS7;ESCO1;TINF2;CDKAL1;THOC5;ATG13;THAP6;ADAM17;SPNS1;ALPK1;KCTD18;FAM8A1;SRSF9;ZNF155;ZNF397;EXD2;KHDRBS1;COPB2;ZCCHC7;EXD3;RWDD2B;TMED10;COX16;ARL6;FAM114A2;COPB1;SUPT4H1;ZBTB1;SDR39U1;ABCB8;COPS7A;WDR61;ZNF23;OMA1;CORO1B;ADH5;COMMD8;NCSTN;TCTEX1D2;ZKSCAN3;STK38L;KIAA0319L;ZKSCAN1;VTI1B;FDFT1;LHPP;KLHDC2;NEK9;OST4;TMEM184C;ACBD5;STK11IP;TMEM120A;VTA1;SYNRG;XRCC1;WDR53;RFXANK;ARPC5;SUPT5H;AP4B1;COPS4;TFCP2;COPS5;GGCX;TDP2;NMT1;NDUFAF1;NIT1;FKBP10;COX4I1;SPIN3;CHM;ETFA;JRKL;ZC3H6;GLI4;ARV1;AIFM2;TCTN3;SCRN3;GATAD1;TCP11L1;FLOT2;ACP2;SDF2;PAAF1;COA5;OFD1;ZNF485;CERS5;APAF1;SPHK2;ANXA4;SSR2;KIAA1143;VWA5A;AKR1A1;AGTRAP;WDR31;ZDHHC13;WIPI2;ARAP1;COMMD6;TCTE3;COMMD4;COPZ1;AFTPH;NDUFS4;CLDN12;TMEM106C;PAFAH1B2;RAPGEF3;ITGB3BP;ZNF233;EXOC1;RNFT2;RNASEK;NDUFB7;RALB;NDUFB6;NDUFB5;STX16;SSNA1;VPS4B;GBA;COX5B;TFPI;PBLD;ZFP14;NFS1;OS9;RPS3;PAIP2;YKT6;ZNF224;RNF20;YIPF1;TAF12;YTHDF3;STAT2;AGL;ZNF182;YIPF5;AP2B1;TM9SF2;LYRM2;RSPH1;ABI2;APC;NEURL2;SYT11;ASB8;XPNPEP3;RAB3GAP2;RBM45;FAM50B
EP300	hg19	239/2611	0.00162049950575649	0.00882571594298314	FAAH;AHCYL1;WDSUB1;STMN3;ABAT;SPINT2;ACCS;ZFYVE1;NUDT6;ZDHHC2;ALKBH3;TBK1;TBC1D22A;XYLB;ALG6;NHLRC3;ESCO1;SACM1L;FNDC3B;SCAMP1;ATG13;SYTL4;FNDC4;XRN1;RFX5;TMEM126B;KCTD18;ALDH7A1;ASF1A;EXD2;GCDH;TMEM185A;EXD3;ZNF395;AASDH;RRAD;SUPT4H1;ZBTB1;ZNF23;ZBTB4;OAZ2;WDR66;COMMD8;NCSTN;CHTF8;XRRA1;CEP70;S100A13;LTA4H;CTSA;ABCA5;LNPEP;RAB27B;ALDH6A1;NDUFAF1;RGL2;CDS2;SPEF2;WDR48;CETN2;QPRT;CLTC;LRRC6;GLI4;ARV1;PCLO;AIFM1;ZMYM4;TCP11L2;CTSC;APPL1;ZNF484;ZNF483;IZUMO4;ZER1;ATMIN;SPHK2;AKR1A1;WDR31;AP3B1;JOSD2;COMMD6;ANO5;WDR35;LRRC41;COMMD4;COQ10A;ANO3;AFTPH;PACS2;CLDN12;RARB;L2HGDH;CD47;EXOC5;KANK2;RNASEK;KIAA1324L;GBA;ADAM22;NRAS;TMEM168;RECQL5;RPS3;CTNNA1;SUSD4;PAIP2;YKT6;STAT2;STAT3;GATC;VWA3A;OTOP1;RANBP6;KAZALD1;RAB11B;ALDH4A1;KRT19;GLB1L;ABI2;CCNG2;PCYOX1L;LAMTOR2;RTN4IP1;ZNF577;YPEL3;GALNT12;TMEM179B;CEP19;FMR1;ZBTB26;SYAP1;NDUFA10;RGS5;LAPTM4A;FPGT;STK16;SCN9A;ZNF326;NRCAM;FAM3C;CDKL2;RAB2B;RPS7;IST1;FBXO16;FBXO15;VRK2;THOC5;LZTFL1;RINT1;RAB30;CERCAM;SPNS1;STAMBP;FAM8A1;STEAP2;FAIM;KHDRBS1;COPB2;COX16;FAM149B1;ARL6;FAM114A2;ARL3;KLHL12;AK7;KLC4;KIF3B;NPHP1;ZNF425;FOPNL;LRRC4C;ISOC2;KLHDC2;CD164;RAB4A;ACBD5;PCIF1;RFXANK;TDRD7;COPS4;CNOT6;CNOT7;COPS5;CCPG1;ZFP62;NOXA1;CPE;CRYL1;NIT1;NIT2;KLHDC9;ETFA;AFF1;SCRN3;ACP2;ACTR6;AKTIP;ARHGEF19;IQCE;WIPI2;IQCH;PCCA;ACOX1;TBC1D5;ZNF638;NDUFS4;SPOPL;ZNF513;PDE5A;RNFT2;KDM3A;KDM3B;VPS4B;NDUFB3;PARN;RNFT1;FBXL20;NFS1;FAM168A;FAM120B;RBBP8;RALY;RAB28;RBBP7;ZNF189;TAF12;LCA5;LYSMD3;RAB10;REST;NEURL2;KIAA0586;SCD;XPNPEP3;APLF;GLA;FAM50B
EP300	hg19	291/3119	0.000126803647940392	0.00211166891264	RFESD;THYN1;GCC2;ABAT;ACSM5;ALKBH7;RBPJ;LIPA;ZDHHC4;TBK1;STS;TFG;OGFOD2;FDXR;KIF21A;FBXO8;LGALS8;TBC1D22A;GLUL;STARD4;KCTD19;SCAF11;FBXO2;FNDC3B;RNASE4;SCAMP1;ATG13;RBP5;THAP5;NEIL2;RNF128;LACTB2;RFX5;KCTD18;ALDH7A1;OBSL1;NGEF;ASF1A;ZNF397;EXD2;RETSAT;STXBP3;STXBP2;SUPT4H1;ZBTB1;COPS7A;ZNF23;ZBTB4;ARPP19;GLG1;NCSTN;RAD21;ARSK;LDHD;STK38L;SCAP;FAM43B;PCK1;ZBED5;ARSB;ZBED3;FDFT1;CTSA;XRCC6;JUP;STK11IP;NR2F1;XRCC1;WDR53;LNPEP;LYZ;PARP14;NR0B2;ACADSB;FA2H;ARL2BP;PAH;SPATS2L;NDUFAF1;CDS2;LRRC36;ARF4;FKBP10;ACY3;SPIN3;QPRT;CLTC;JRKL;ARHGAP5;ABCC11;KHK;GLI4;SPTLC3;AIFM2;PCF11;ACADM;CTSC;APPL1;TMEM150A;SPHK2;PARP2;LRRC49;ANXA5;AKR1A1;FN3KRP;WDR31;AP3B1;WDR35;COMMD4;SUMF1;ANO3;ALDH5A1;RILPL2;VSNL1;RGN;VWA1;L2HGDH;CRELD1;EXOC5;EXOC1;STX16;FAM214A;FAM117B;STYXL1;LMAN1;CNPY4;OS9;ORMDL3;CTNNA1;STAT6;YKT6;LMLN;NPM1;YIPF1;AGK;STAT2;STAT3;VWA3A;AP2B1;RANBP6;KAZALD1;AGMAT;KBTBD3;LYRM1;KBTBD4;LRG1;GLB1L;KLHL5;ABI2;CCNG2;KLHL7;CCNG1;R3HCC1;TCEA2;AGGF1;ANKRD65;RAB3GAP2;RAD1;LAMTOR2;LGR4;CDKN3;YPEL2;ZNF572;ACAA2;CHPF;KDM1A;ZFAND6;SYAP1;SAT2;SAT1;FAM162A;OSBP;STK16;SCN9A;ZNF569;KRTAP3-1;FADS1;ZNF441;RARS2;RAB2B;S100A2;RPS7;IST1;ZCRB1;THOC5;NRBP1;ALDH3A2;ADAM17;TMEM135;RALGAPB;ZNF318;ERP29;FKBP7;TBC1D23;NUPR1;FAM8A1;SRSF9;KHDRBS1;ZCCHC7;RAB5B;TMED10;COX16;ABHD4;FAM114A1;COX18;YTHDC2;COPB1;ARL1;CREBL2;NDRG2;KRCC1;CORO1B;ORC4;KIF3B;ZMAT2;COBLL1;NPHP1;ZNF549;ZKSCAN3;FOPNL;NDUFV1;NEK9;KLHDC3;GCKR;RAB4A;ACBD5;TMEM120A;NEK7;KLHL24;SUPT5H;AMACR;CPD;ACO1;PYROXD2;NIT2;FGFR3;KLHDC9;ITGB1;NGLY1;PDE3B;FTCD;AP4M1;SPR;CPT2;SCRN3;KYNU;SCRN2;FLOT2;CERS5;CDADC1;ABHD14B;WIPI2;ARAP1;APOA5;RBL2;FAM189B;FCHSD2;ACOX2;ACOX1;TBC1D5;TMBIM1;NDUFS4;RNFT2;KDM3A;NDUFB7;RALB;ACSS2;NDUFB6;WBP2;VPS4B;NDUFB3;PARN;GLRX;SAMHD1;CRYZ;RBBP8;RAB28;FDXACB1;FBXL17;CTNS;CPPED1;CLCN5;APC;NEURL2;KIAA0586;SCD;GLOD4;XPNPEP3;PDCD4;GALM;CLUAP1
